english	german	french	spanish	xhosa	afrikaans
to stand	stehen	Se tenir debout	estar de pie	ukuma	om op te staan
to visit	besuchen	visiter	visitar	ukundwendwela	om te besoek
to ask	fragen	demander	preguntar	ukubuza	om te vra
to complain	sich beschweren	se plaindre	quejarse	ukukhalaza	om te kla
to destroy	zerstören	détruire	destruir	ukutshabalalisa	om te vernietig
to finish	beenden	pour finir	terminar	ukugqiba	om klaar te maak
to influence	beeinflussen	influencer	influenciar	ukuba nempembelelo	om te beïnvloed
to matter	bedeuten	compter	importar	kumba	saak
to produce	produzieren	produire	producir	ukuvelisa	te produseer
to result	dazu führen	résulter	resultar	ukuba ikhokelela	tot gevolg
to start	anfangen	commencer	empezar	ukuqala	om te begin
to vote	abstimmen	voter	votar	ukuba bavote	om te stem
to attack	angreifen	attaquer	atacar	ukuhlasela	aan te val
to complete	fertigstellen	compléter	completar	ukugqiba	om te voltooi
to develop	entwickeln	développer	desarrollar	ukuphuhlisa	om te ontwikkel
to fit	passen	S'adapter	caber	ukungena	aan te pas
to inform	informieren	informer	informar	ukwazisa	in te lig
to promise	versprechen	promettre	prometer	undithembise	om te belowe
to return	Zurückkehren	revenir	volver	ukubuya	om terug te keer
to state	aussagen	établir	declarar	ukuba urhulumente	staat
to wait	warten	attendre	esperar	ukulinda	Om te wag
to avoid	vermeiden	éviter	evitar	ukubaleka	om te vermy
to concern	betreffen	de préoccuper	preocupar	ukuba inkxalabo	kommer
to die	sterben	mourir	morir	ukufa	Om dood te gaan
to fly	fliegen	voler	volar	ukubhabha	om te vlieg
to intend	beabsichtigen	avoir l'intention de	pretender	ukuba uzimisele	beplan
to mean	meinen	vouloir dire	significar	ukuthetha ukuba	om te beteken
to protect	beschützen	protéger	proteger	ukukhusela	om te beskerm
to reveal	enthüllen	révéler	revelar	ukumtyhilela	om te ontbloot
to stay	bleiben	rester	permanecer	ukuhlala	om te bly
to walk	gehen	marcher	caminar	ukuhamba	om te wandel
to base	begründen	fonder	basar	ukuba isiseko	na die basis
to confirm	bestätigen	confirmer	confirmar	ukuqinisekisa	om te bevestig
to disappear	verschwinden	disparaître	desaparecer	zinyamalele	om te verdwyn
to fold	falten	plier	doblar	ukuba songa	om te vou
to introduce	vorstellen	Présenter	introducir	ukwazisa	bekend te stel
to measure	messen	mesurer	medir	ukulinganisa	te meet
to prove	beweisen	prouver	probar	ukubonisa ubunyani	om te bewys
to ring	klingeln	sonner	sonar	zaya khonkcweni	om te lui
to stick	stecken	coller	pegarse	ukunamathela	om vas te hou
to want	wollen	vouloir	querer	Ukufuna	wil
to be	sein	être	ser	ukuba	om te wees
to connect	verbinden	se connecter	conectar	ukuzidibanisa	om aan te sluit
to discover	entdecken	découvrir	descubrir	ukuba kukuphina	om te ontdek
to follow	folgen	suivre	seguir	ukulandela	om te volg
to invite	einladen	inviter	invitar	ukumema	uit te nooi
to meet	treffen	rencontrer	reunirse	ukudibana	om te voldoen aan
to provide	bereitstellen	fournir	proveer	ukunikeza	om te voorsien
to rise	aufsteigen	se lever	subir	ukwenyuka	styg
to stop	stoppen	arrêter	detener	ukumisa	om op te hou
to warn	warnen	avertir	advertir	ukuba alumkise	te waarsku
to beat	schlagen	battre	golpear	Ukubetha	om te klop
to consider	etwas erwägen	considérer	considerar	ukucingela	om te oorweeg
to discuss	diskutieren	Discuter	discutir	Ukuxoxa	om te bespreek
to force	zwingen	forcer	forzar	ukunyanzela	te dwing
to involve	involvieren	impliquer	involucrar	ukubandakanya	te betrek
to mention	erwähnen	à mentionner	mencionar	ukukhankanya	om op te noem
to publish	veröffentlichen	de publier	publicar	ukupapasha	om te publiseer
to roll	rollen	à rouler	rodar	lokujikelezisa	te rol
to study	studieren	étudier	estudiar	ukufunda	om te studeer
to wash	waschen	laver	lavar	bahlambe	te was
to become	werden	devenir	volverse	ukubayi	raak
to consist	bestehen	consister	consistir	iqulunqwe	om uit
to divide	teilen	diviser	dividir	ukuba bahlule	te verdeel
to forget	vergessen	oublier	olvidar	ukulibala	om te vergeet
to join	beitreten	joindre	unirse	ukujoyina	om aan te sluit
to pull	ziehen	tirer	tirar	ukutsala	om te trek
to run	rennen	courir	correr	ukubaleka	om te hardloop
to succeed	erfolgreich sein	réussir	triunfar	ukuphumelela	om sukses te behaal
to watch	beobachten	regarder	mirar	ukubukela	om te kyk
to begin	beginnen	pour commencer	empezar	ukuqalisa	om te begin
to contact	kontaktieren	contacter	contactar	ukuba uqhagamshelane	te kontak
to do	tun	faire	hacer	ukwenza	om te doen
to forgive	verzeihen	pardonner	perdonar	lokuxolela	om te vergewe
to jump	springen	sauter	saltar	ukuba utsibe	om te spring
to mind	etwas ausmachen	avoir àl'esprit	preocupar	engqondweni	na vore
to push	drücken	pousser	empujar	ibihlaba	te stoot
to save	speichern	économiser	ahorrar	ukugcuna	om te spaar
to suffer	leiden	souffrir	sufrir	ukuba ubunzima	te ly
to wear	tragen	porter	vestir	ukunxiba	om te dra
to believe	glauben	croire	creer	ukukholwa	om te glo
to contain	enthalten	contenir	contener	ukuqulatha	bevat
to dress	sich kleiden	s'habiller	vestir	ukunxiba	om aan te trek
to form	formen	constituer	formar	ukwenza	te vorm
to keep	behalten	garder	guardar	ukugcina	om te hou
to miss	vermissen	manquer	perder	ukukhumbula	misloop nie
to put	stellen	mettre	poner	ukubeka	om te sit
to say	sagen	dire	decir	ukuthi	om te sê
to suggest	vorschlagen	suggérer	sugerir	ukucebisa	voor te stel
to belong	gehören	appartenir	pertenecer	ukuba lilungu	behoort
to continue	weitermachen	continuer	continuar	ukuqhubeka	om voort te gaan
to drink	trinken	boire	beber	ukusela	om te drink
to found	gründen	trouver	fundar	ukuba ndiseke	om gevind
to kick	treten	donner un coup de pied	golpear	ukhaba	om te skop
to move	bewegen	bouger	moverse	ukuhamba	om te beweeg
to raise	erheben	augmenter	elevar	ukukhulisa	om op te lig
to see	sehen	à voir	ver	ukubona	om te sien
to suit	passen	Pour convenir	satisfacer	ukulungela	aan te pas
to win	gewinnen	gagner	ganar	ukuphumelela	om te wen
to break	brechen	casser	romper	ukwephula	om te breek
to contribute	beitragen	contribuer	contribuir	ukuba negalelo	om by te dra
to drive	fahren	conduire	conducir	ukuqhuba	om te ry
to gain	zunehmen	gagner	ganar	ukufumana	om te wen
to kill	töten	tuer	matar	ukubulala	om dood te maak
to reach	erreichen	atteindre	alcanzar	ukufika	te bereik
to seem	scheinen	sembler	parecer	ukuba ngathi	lyk
to supply	versorgen	fournir	suministrar	ukuba unikeze	te voorsien
to wish	wünschen	souhaiter	desear	ukuba unqwenela	toe te wens
to build	bauen	construire	construir	ukwakha	om te bou
to control	kontrollieren	contrôler	controlar	ukuba ulawulo	beheer
to drop	fallen lassen	laisser tomber	soltar	ukuwisa	daal
to get	bekommen	obtenir	obtener	ukufumana	om te kry
to knock	klopfen	frapper	golpear	ninkqonkqoze	om te klop
to need	benötigen	avoir besoin	necesitar	Ukufuna	om te benodig
to read	lesen	lire	leer	ukufunda	om te lees
to sell	verkaufen	vendre	vender	ukuthengisa	om te verkoop
to support	unterstützen	soutenir	apoyar	ukuxhasa	om ondersteuning
to wonder	sich wundern	se demander	preguntarse	ukuba uyazibuza	om te wonder
to burn	brennen	brûler	quemar	ukuba aqhumisele	te verbrand
to cook	kochen	cuisiner	cocinar	ukupheka	kook
to eat	essen	manger	comer	Ukutya	om te eet
to give	geben	donner	dar	ukunikeza	om te gee
to know	wissen	à savoir	saber	ukwazi	om te weet
to notice	bemerken	remarquer	notar	ukuba uqaphele	om op te let
to realize	feststellen	réaliser	darse cuenta	ukubona	om te besef
to send	senden	envoyer	enviar	ukuthumela	stuur
to suppose	vermuten	supposer	suponer	ukuba siyamkele	om te veronderstel
to work	arbeiten	travailler	trabajar	ukusebenza	werk
to buy	kaufen	acheter	comprar	ukuthenga	te koop
to copy	kopieren	copier	copiar	ukukhuphela	kopieer
to enable	ermöglichen	autoriser	permitir	ukwenzela ukuba	in staat te stel
to go	gehen	aller	ir	ukuhamba	om te gaan
to last	dauern	durer	durar	ukuhlala ixesha elide	om te hou
to obtain	erhalten	obtenir	obtener	ukufumana	om te bekom
to receive	bekommen	recevoir	recibir	ukufumana	te ontvang
to separate	trennen	séparer	separar	ukusahlula	om te skei
to survive	überleben	survivre	sobrevivir	ukuze sisinde	om te oorleef
to worry	sich Sorgen machen	s'inquiéter	preocuparse	moss	om te bekommer
to call	anrufen	appeler	llamar	ukubiza	om te bel
to correct	korrigieren	corriger	corregir	ukulungisa	om reg te maak
to encourage	ermutigen	encourager	fomentar	ukukhuthaza	om aan te moedig
to grow	wachsen	grandir	crecer	ukukhula	om te groei
to laugh	lachen	rire	reír	ukuhleka	om te lag
to occur	passieren	avoir lieu	ocurrir	ukuba yenzeke	om te gebeur
to recognize	erkennen	reconnaître	reconocer	ukunakana	om te erken
to serve	dienen	servir	servir	ukuseva	om te bedien
to take	nehmen	prendre	tomar	Yise e	te neem
to cost	kosten	coûter	costar	ukuba iindleko	om koste
to end	beenden	finir	finalizar	ukuphelisa	om te eindig
to handle	handhaben	gérer	manejar	ukubamba	om te hanteer
to lay	liegen	coucher	poner	angalalisa	om te lê
to offer	anbieten	offrir	ofrecer	ukunikeza	om aan te bied
to record	aufzeichnen	enregistrer	grabar	ukuba babhale	aan te teken
to set	etwas bestimmen	mettre en place	poner	ukuseta	op te rig
to talk	sprechen	parler	hablar	ukuthetha	om te praat
to write	schreiben	écrire	escribir	ukubhala	om te skryf
